Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008,1,1,2,650,700,841,857,XE,541,N18557,111,117,94,-16,-10,MCI,AUS,650,6,11,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,955,925,1158,1122,XE,543,N11547,123,117,99,36,30,MCI,MSY,690,4,20,0,,0,0,0,6,0,30
2008,1,1,2,1524,1530,1730,1740,XE,555,N11544,126,130,115,-10,-6,MSY,MCI,690,5,6,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1258,1300,1444,1457,XE,556,N11544,106,117,93,-13,-2,MCI,MSY,690,4,9,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1219,1155,1427,1405,XE,560,N11547,128,130,110,22,24,MSY,MCI,690,4,14,0,,0,0,0,0,0,22
2008,1,1,2,933,935,1314,1316,XE,60,N13553,161,161,143,-2,-2,TUS,OMA,1046,3,15,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1653,1525,1738,1617,XE,600,N12563,105,112,91,81,88,JAX,MSY,513,6,8,0,,0,0,0,0,0,81
2008,1,1,2,1805,1645,1934,1828,XE,600,N12563,89,103,74,66,80,MSY,AUS,445,6,9,0,,0,0,0,0,0,66
2008,1,1,2,939,935,1045,1056,XE,608,N11551,66,81,55,-11,4,JAX,RDU,408,3,8,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1350,1400,1559,1603,XE,61,N13553,189,183,172,-4,-10,OMA,TUS,1046,4,13,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1422,1430,1538,1547,XE,612,N18557,76,77,59,-9,-8,AUS,MSY,445,5,12,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1617,1615,1839,1839,XE,612,N18557,82,84,67,0,2,MSY,JAX,513,5,10,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,735,730,910,902,XE,615,N11551,95,92,69,8,5,RDU,JAX,408,4,22,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1856,1840,2032,2030,XE,619,N16561,96,110,81,2,16,MSY,SAT,495,6,9,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1639,1640,1827,1814,XE,619,N16561,168,154,144,13,-1,RDU,MSY,779,5,19,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1618,1620,1754,1814,XE,621,N14174,156,174,142,-20,-2,RDU,MCI,904,5,9,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1912,1845,2059,2045,XE,622,N11547,167,180,155,14,27,JAX,MCI,956,4,8,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1222,1225,1408,1433,XE,624,N11164,166,188,151,-25,-3,TUS,GEG,1125,6,9,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,710,715,836,841,XE,71,N11199,206,206,176,-5,-5,OMA,ONT,1286,8,22,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,917,905,1407,1406,XE,72,N13161,170,181,160,1,12,ONT,OMA,1286,3,7,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1537,1545,1654,1711,XE,73,N12163,197,206,180,-17,-8,OMA,ONT,1286,4,13,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1839,1840,2333,2341,XE,74,N11194,174,181,161,-8,-1,ONT,OMA,1286,4,9,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,626,630,747,741,XE,7667,N11181,81,71,44,6,-4,LAX,LAS,236,26,11,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,800,800,837,855,XE,7668,N16183,37,55,22,-18,0,SAN,LAX,109,7,8,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1736,1715,1919,1850,XE,7669,N14177,163,155,148,29,21,OKC,SLC,866,6,9,0,,0,0,0,8,0,21
2008,1,1,2,1337,1330,1653,1650,XE,7669,N14177,136,140,109,3,7,SLC,OKC,866,5,22,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,613,623,807,805,XE,7671,N33182,174,162,153,2,-10,OKC,SLC,866,5,16,0,,0,NA,NA,NA,NA,NA
2008,1,1,2,1111,1105,1305,1245,XE,7672,N33182,114,100,77,20,6,PHX,SLC,507,18,19,0,,0,0,0,14,0,6
